Movie,Year
The Man Who Fell to Earth,1976
Close Encounters of the Third Kind,1977
Alien,1979
Star Trek: The Wrath of Khan,1982
E.T,1982
Starman,1984
Star Trek IV: The Voyage Home,1986
Aliens,1986
The Abyss,1989
Alien 3,1992
Mars Attack,1996
Independence Day,1996
Star Trek: First Contact,1996
Starship Trooper,1997
The Fifth Element,1997
Contact ,1997
Alien: Resurrection,1997
Men in Black,1997
Signs,2002
Lilo & Stitch,2002
War of the Worlds,2005
Transformers,2007
Cloverfield,2008
District 9,2009
Star Trek,2009
Avatar,2009
Predators,2010
Paul,2011
Super 8,2011
Attack the Block,2011
Men in Black III,2012
Prometheus,2012
Enders Game,2013
Oblivion,2013
Star Trek: Into Darkness,2013
Under the skin,2013
The worlds End,2013
Edge of Tomorrow,2014
Star Trek: Beyong,2016
Midnight Special,2016
10 Cloverfield Lane,2016
Arrival,2016
Life,2017
Alien: Covenant,2017
It,2017
Annihilation,2018
A quiet place,2018
The captive state,2019
It: Chapter Two,2019
